"","eventid","eventname","subtype","cuisine","price","openWeek","closeWeek","openSat","closeSat","openSun","closeSun","eventlength","popularity","latitude","address","longitude"
"1",1,"Jarryds","breakfast","Cafe",2,"7",NA,"7",NA,"7",NA,1.5,3,NA,"90 Regent Road, Sea Point, Cape Town",NA
"2",3,"Truth Coffee","breakfast","Cafe",1,"7.5","18","7.5","18","7.5","18",1,3,NA,"36 Buitenkant Street, CBD, Cape Town",NA
"3",5,"The Towers Restaurant - African Pride Crystal Towers","breakfast","Contemporary",3,"6.5","22","6.5","22","6.5","22",2,1,NA,"African Pride Crystal Towers, Century Boulavard, Century City, Cape Town",NA
"4",7,"Jason","breakfast","Cafe",1,"7",NA,"7",NA,"7",NA,1,3,NA,"185 Bree Street, CBD, Cape Town",NA
"5",9,"NOMAD Bistro Fusion","breakfast","International",2,"8","16","8","16","8","16",1.5,1,NA,"33 Waterkant Street, CBD, Cape Town",NA
"6",11,"Starlings Cafe","breakfast","Cafe",2,"7","17","7","17","7","17",1.5,3,NA,"94 Belvedere Road, Claremont, Cape Town",NA
"7",13,"Bacon on Bree","breakfast","Cafe",1,"7","16","7","16","7","16",1,2,NA,"217 Bree Street, CBD, Cape Town",NA
"8",15,"Schoon De Companje","breakfast","European",2,"7","22","7","22","7","22",1.5,2,NA,"Oude Bank Building, 7 Church Street, Stellenbosch, Cape Town",NA
"9",17,"The Larder","breakfast","Cafe",1,"7","17","7","17","7","17",1,2,NA,"Unit 5 Grove Building, 8 Grove Avenue, Claremont, Cape Town",NA
"10",19,"PRIMI Piatti","breakfast","Italian",3,"9","22","9","22","9","22",2,3,NA,"First Level, Victoria Wharf, V & A Waterfront, Cape Town",NA
"11",21,"Mynt Cafe","breakfast","Cafe",3,"8","23","8","23","8","23",2,1,NA,"31 Victoria Road, Camps Bay, Cape Town",NA
"12",23,"Honest Chocolate Cafe","breakfast","Cafe",1,"9","17","9","17","9","17",1,3,NA,"64 A Wale Street, CBD, Cape Town",NA
"13",25,"Warwick Wine Estate","breakfast","South African",3,"9","17","9","17","9","17",2,1,NA,"Warwick Wine Estate, R44, Stellenbosch, Cape Town",NA
"14",27,"Company's Garden","breakfast","Cafe",1,"7","18","7","18","7","18",1,2,NA,"19 Queen Victoria Street, CBD, Cape Town",NA
"15",29,"Greens","breakfast","Cafe",3,"8","17","8","17","8","17",2,1,NA,"Plattekloof Village, Corner Plattekloof Road and Baronetcy Road, Plattekloof, Cape Town",NA
"16",31,"Four & Twenty","breakfast","Cafe",2,"8","17","8","17","8","17",1.5,3,NA,"23 Wolfe Street, Chelsea Village, Wynberg, Cape Town",NA
"17",33,"Honeybun","breakfast","Cafe",1,"7","17","7","17","7","17",1,1,NA,"107 Lower Main Road, Observatory, Cape Town",NA
"18",35,"Haas Collective","breakfast","Cafe",1,"7","17","7","17","7","17",1,2,NA,"19 Buitenkant Street, CBD, Cape Town",NA
"19",37,"tashas","breakfast","Cafe",3,"7.5","21","7.5","21","7.5","21",2,3,NA,"Ground Level, Victoria Wharf, V & A Waterfront, Cape Town",NA
"20",39,"Kleinskys Delicatessen","breakfast","Deli",1,"8","17","8","17","8","17",1,2,NA,"95 Regent Road, Sea Point, Cape Town",NA
"21",41,"Lekke Neh Restaurant","breakfast","Burger",3,"9","17","9","17","9","17",2,1,NA,"Weltevreden Wine Estate, Cloetesville Road, Welgevonden, Stellenbosch, Cape Town",NA
"22",43,"Bootlegger Coffee Company","breakfast","Cafe",1,"6.5","22","6.5","22","6.5","22",1,2,NA,"39 Regent Road, Sea Point, Cape Town",NA
"23",45,"Durbanville Hills Restaurant","breakfast","Grill",3,"8.5","15","8.5","15","8.5","15",2,1,NA,"Durbanville Hills Wine Farm, Tyger Valley Road, Durbanville, Cape Town",NA
"24",47,"ON19 Restaurant - The Westin Cape Town","breakfast","African",3,"6.5","10","6.5","10","6.5","10",2,1,NA,"The Westin, Convention Square, Lower Long Street, Foreshore, Cape Town",NA
"25",49,"Pastis","breakfast","French",3,"8.5","22","8.5","22","8.5","22",2,1,NA,"High Constantia Center, Constantia Main Road, Constantia, Cape Town",NA
"26",51,"Franky's Diner","breakfast","American",1,NA,NA,"NULL",NA,"NULL",NA,1,2,NA,"303 Main Road, Sea Point, Cape Town",NA
"27",53,"Mondiall","breakfast","Seafood",3,"9","11","9","11","9","11",2,3,NA,"Alfred Mall, V & A Waterfront, Cape Town",NA
"28",55,"Yours Truly","breakfast","Cafe",1,"6","23","6","23","6","23",1,2,NA,"73 Kloof Street, Gardens, Cape Town",NA
"29",57,"Clarke's Bar & Dining Room","breakfast","European",2,"7","17","7","17","7","17",1.5,3,NA,"133 Bree Street, CBD, Cape Town 8001",NA
"30",59,"Hillcrest Restaurant","breakfast","Mediterranean",3,"9","17","9","17","9","17",2,1,NA,"Hillcrest Wine Estate, Tyger Valley Road, Durbanville, Cape Town",NA
"31",61,"Jarryds","breakfast","Cafe",2,"7",NA,"7",NA,"7",NA,1.5,3,NA,"90 Regent Road, Sea Point, Cape Town",NA
"32",63,"Truth Coffee","breakfast","Cafe",1,"7.5","18","7.5","18","7.5","18",1,3,NA,"36 Buitenkant Street, CBD, Cape Town",NA
"33",65,"The Towers Restaurant - African Pride Crystal Towers","breakfast","Contemporary",3,"6.5","22","6.5","22","6.5","22",2,1,NA,"African Pride Crystal Towers, Century Boulavard, Century City, Cape Town",NA
"34",67,"Jason","breakfast","Cafe",1,"7",NA,"7",NA,"7",NA,1,3,NA,"185 Bree Street, CBD, Cape Town",NA
"35",69,"NOMAD Bistro Fusion","breakfast","International",2,"8","16","8","16","8","16",1.5,1,NA,"33 Waterkant Street, CBD, Cape Town",NA
"36",71,"Starlings Cafe","breakfast","Cafe",2,"7","17","7","17","7","17",1.5,3,NA,"94 Belvedere Road, Claremont, Cape Town",NA
"37",73,"Bacon on Bree","breakfast","Cafe",1,"7","16","7","16","7","16",1,2,NA,"217 Bree Street, CBD, Cape Town",NA
"38",75,"Schoon De Companje","breakfast","European",2,"7","22","7","22","7","22",1.5,2,NA,"Oude Bank Building, 7 Church Street, Stellenbosch, Cape Town",NA
